gse	rnk_list	drug	tissue_type	cell_type	cell_line	moa	MAFF_rank	CCNE2_rank	MAFF_logFC	CCNE2_logFC
GSE50831	GSE50831_DEG_Expt17_Control_vs_Group2	paclitaxel	ovary	cell line	OVCAR-4	microtubule stabilizer	18	16022	1.25379529	-0.325653931
GSE50831	GSE50831_DEG_Expt18_Control_vs_Group2	paclitaxel	ovary	cell line	OVSAHO	microtubule stabilizer	3885	16242	0.129257847	-0.349526904
GSE50831	GSE50831_DEG_Expt19_Control_vs_Group2	paclitaxel	ovary	cell line	EFO-21	microtubule stabilizer	144	16342	0.503609617	-0.440892999
GSE50831	GSE50831_DEG_Expt2_Control_vs_Group2	paclitaxel	ovary	cell line	TOV-21G	microtubule stabilizer	60	16890	0.670807095	-0.934684031
GSE50831	GSE50831_DEG_Expt20_Control_vs_Group2	paclitaxel	ovary	cell line	COV434	microtubule stabilizer	2	15404	1.454922885	-0.28942238
GSE50831	GSE50831_DEG_Expt21_Control_vs_Group2	paclitaxel	ovary	cell line	CaOv3	microtubule stabilizer	2096	15950	0.26666181	-0.491882037
GSE50831	GSE50831_DEG_Expt3_Control_vs_Group2	paclitaxel	ovary	cell line	OVISE	microtubule stabilizer	4308	16845	0.083570076	-0.767277176
GSE50831	GSE50831_DEG_Expt4_Control_vs_Group2	paclitaxel	ovary	cell line	TOV-112D	microtubule stabilizer	13191	16891	-0.152384047	-1.105706694
GSE50831	GSE50831_DEG_Expt5_Control_vs_Group2	paclitaxel	ovary	cell line	OV56	microtubule stabilizer	112	16717	0.858931614	-0.581288984
GSE50831	GSE50831_DEG_Expt6_Control_vs_Group2	paclitaxel	ovary	cell line	COV362	microtubule stabilizer	2123	16866	0.153466946	-0.646142911
GSE50831	GSE50831_DEG_Expt7_Control_vs_Group2	paclitaxel	ovary	cell line	COV504	microtubule stabilizer	24	16894	1.014377526	-1.544309883
GSE50831	GSE50831_DEG_Expt8_Control_vs_Group2	paclitaxel	ovary	cell line	COLO-704	microtubule stabilizer	3280	16850	0.12735787	-0.748232029
GSE50831	GSE50831_DEG_Expt9_Control_vs_Group2	paclitaxel	ovary	cell line	COLO 720E	microtubule stabilizer	11565	16718	-0.073927312	-0.426919791
GSE51212	GSE51212_DEG_Expt1_Control_vs_Group1	erlotinib	lung	cell line	HCC827	EGFR inhibitor	16760	16885	-0.895466869	-2.197365315
GSE51212	GSE51212_DEG_Expt1_Control_vs_Group2	AZD6244	lung	cell line	HCC827	MEK inhibitor	16871	16804	-0.766827607	-0.436985436
GSE51212	GSE51212_DEG_Expt1_Control_vs_Group3	BEZ235	lung	cell line	HCC827	PI3K inhibitor	112	16888	1.071026229	-1.566905119
GSE5145	GSE5145_DEG_Expt1_Control_vs_Group1	vitamin D3	muscle	primary		"Vitamin,mineral,metabolite"	6429	13962	0.04802902	-0.118995782
GSE51524	GSE51524_DEG_Expt1_Control_vs_Group1	DHT	prostate	cell line	LNCaP	androgen receptor agonist	11885	16859	-0.056080653	-0.35694512
GSE52087	GSE52087_DEG_Expt1_Control_vs_Group1	mesoporphyrine	"blood, myeloid"	cell line	K562	heme oxygenase inhibitor	1051	13744	0.307237835	-0.179263181
GSE52087	GSE52087_DEG_Expt1_Control_vs_Group2	mesoporphyrine	"blood, myeloid"	cell line	K562	heme oxygenase inhibitor	1106	15575	0.411653251	-0.45286484
GSE53183	GSE53183_DEG_Expt1_Control_vs_Group1	doxycycline	kidney	cell line	HEK293	metalloproteinase inhibitor	13353	10488	-0.063362804	-0.025437252
GSE5679	GSE5679_DEG_Expt1_Control_vs_Group1	RSG	"blood, myeloid"	primary		PPAR receptor agonist	217	5846	0.77403634	0.053114998
GSE5679	GSE5679_DEG_Expt1_Control_vs_Group2	AM580	"blood, myeloid"	primary		retinoid receptor agonist	10973	4778	-0.070295032	0.06730826
GSE57728	GSE57728_DEG_Expt1_Control_vs_Group1	ICG-001	pancreatic	cell line	AsPC1	beta-catenin inhibitor	46	16846	1.144017139	-0.905539013
GSE57728	GSE57728_DEG_Expt2_Control_vs_Group1	ICG-001	pancreatic	cell line	AsPC1	beta-catenin inhibitor	102	16893	1.050762641	-2.399434104
GSE59228	GSE59228_DEG_Expt1_Control_vs_Group1	2DG	breast	cell line	MCF10A	glycolysis inhibitor	1565	16892	0.731093056	-5.480189888
GSE59228	GSE59228_DEG_Expt2_Control_vs_Group1	2DG	breast	cell line	MCF10A	glycolysis inhibitor	652	16816	0.933200965	-2.114271014
GSE60722	GSE60722_DEG_Expt1_Control_vs_Group1	bicalutamide	prostate	cell line	LNCaP	androgen receptor antagonist	12937	12218	-0.074688955	-0.057445742
GSE62203	GSE62203_DEG_Expt1_Control_vs_Group1	glucose|endothelin-1|cortisol	heart	iPS		Other|vasoconstrictor|steroid hormone	23	6627	1.728364096	0.029355277
GSE62947	GSE62947_DEG_Expt1_Control_vs_Group1	SRPIN803	epithelial	cell line	ARPE-19	SRPK1/CK2 inhibitor	3430	13561	0.133366366	-0.098982435
GSE63009	GSE63009_DEG_Expt1_Control_vs_Group1	aledronate	bone	cell line	H1666	bisphosphonates	4122	16681	0.061932037	-0.28789471
GSE63009	GSE63009_DEG_Expt1_Control_vs_Group2	risedronate	bone	cell line	H1666	bisphosphonates	8790	9721	-0.003817541	-0.016538566
GSE64337	GSE64337_DEG_Expt1_Control_vs_Group1	TVB-3166	pancreatic	cell line	PANC-1	FASN inhibitor	26	16879	1.611293805	-1.128966549
GSE64337	GSE64337_DEG_Expt1_Control_vs_Group2	TVB-3166	pancreatic	cell line	PANC-1	FASN inhibitor	5	16829	2.653462708	-1.304496642
GSE64480	GSE64480_DEG_Expt1_Control_vs_Group1	TLR7 agonist|TLR8 agonist	"blood, myeloid"	primary		immunomodulator	3609	2950	0.177922534	0.219653162
GSE64480	GSE64480_DEG_Expt1_Control_vs_Group2	TLR7 agonist|TLR8 agonist	"blood, myeloid"	primary		immunomodulator	434	413	1.455386929	1.488161221
GSE64536	GSE64536_DEG_Expt1_Control_vs_Group1	tamoxifen	breast	cell line	MCF10A	estrogen receptor antagonist	795	15926	0.224879268	-0.232626681
GSE64536	GSE64536_DEG_Expt2_Control_vs_Group1	tamoxifen	breast	cell line	MCF10A	estrogen receptor antagonist	13793	16105	-0.188982428	-0.467726464
GSE65012	GSE65012_DEG_Expt1_Control_vs_Group1	cortistatin A	"blood, myeloid"	cell line	K562	CDK inhibitor	106	16841	0.328486093	-0.355052993
GSE65014	GSE65014_DEG_Expt1_Control_vs_Group1	cortistatin A	"blood, myeloid"	cell line	MOLM-14	CDK inhibitor	143	16255	0.618998694	-0.246819689
GSE65015	GSE65015_DEG_Expt1_Control_vs_Group1	cortistatin A	"blood, myeloid"	cell line	MOLM-14	CDK inhibitor	14161	16892	-0.107601101	-0.514811684
GSE65019	GSE65019_DEG_Expt1_Control_vs_Group1	cortistatin A	"blood, myeloid"	cell line	MV4-11	CDK inhibitor	16808	16625	-0.396483082	-0.305243897
GSE65816	GSE65816_DEG_Expt1_Control_vs_Group1	ibrutinib|PLS-123	lymph	cell line	OCI-Ly7	BTK inhibitor	5612	5320	0.04535934	0.051441796
GSE65816	GSE65816_DEG_Expt1_Control_vs_Group2	ibrutinib|PLS-123	lymph	cell line	OCI-Ly7	BTK inhibitor	9464	9320	-0.044598192	-0.040900563
GSE65816	GSE65816_DEG_Expt1_Control_vs_Group3	ibrutinib|PLS-123	lymph	cell line	OCI-Ly7	BTK inhibitor	15413	6128	-0.361062245	0.046241976
GSE67051	GSE67051_DEG_Expt1_Control_vs_Group1	erlotinib	lung	cell line	PC-9	EGFR inhibitor	14798	14680	-0.459934971	-0.443630289
GSE67051	GSE67051_DEG_Expt2_Control_vs_Group1	erlotinib	lung	cell line	HCC827	EGFR inhibitor	16165	16109	-0.608104505	-0.586735675
GSE67326	GSE67326_DEG_Expt1_Control_vs_Group1	myostatin	muscle	primary		myogenesis inhibitor	12639	7635	-0.128288779	-0.025294746
GSE67326	GSE67326_DEG_Expt1_Control_vs_Group2	myostatin	muscle	primary		myogenesis inhibitor	11008	1718	-0.097572476	0.152707579
GSE67326	GSE67326_DEG_Expt1_Control_vs_Group3	myostatin	muscle	primary		myogenesis inhibitor	9829	5397	-0.04685546	0.038732484
GSE67326	GSE67326_DEG_Expt2_Control_vs_Group1	myostatin	muscle	primary		myogenesis inhibitor	5167	15767	0.070390527	-0.174942354
GSE67326	GSE67326_DEG_Expt2_Control_vs_Group2	myostatin	muscle	primary		myogenesis inhibitor	8178	16640	0.042500556	-0.473176431
GSE67326	GSE67326_DEG_Expt2_Control_vs_Group3	myostatin	muscle	primary		myogenesis inhibitor	1788	15592	0.273276646	-0.331627309
GSE67338	GSE67338_DEG_Expt1_Control_vs_Group1	terfilunomide	brain	cell line	IMR32	immunomodulator	1595	13824	0.395617902	-0.235290916
GSE67920	GSE67920_DEG_Expt1_Control_vs_Group1	PFI-3	"blood, myeloid"	cell line	MV4-11	bromodomain inhibitor	10984	13195	-0.041456368	-0.10643937
GSE68527	GSE68527_DEG_Expt1_Control_vs_Group1	copaxone	"blood, myeloid"	cell line	THP1	immunomodulator	887	14423	0.227116425	-0.131553309
GSE68527	GSE68527_DEG_Expt1_Control_vs_Group2	probioglat	"blood, myeloid"	cell line	THP1	immunomodulator	426	15101	0.434723079	-0.187454414
GSE68527	GSE68527_DEG_Expt2_Control_vs_Group1	copaxone	"blood, myeloid"	cell line	THP1	immunomodulator	11418	12756	-0.040564815	-0.057877829
GSE68527	GSE68527_DEG_Expt2_Control_vs_Group2	probioglat	"blood, myeloid"	cell line	THP1	immunomodulator	3646	15811	0.075601694	-0.164808395
GSE68527	GSE68527_DEG_Expt3_Control_vs_Group1	copaxone	"blood, myeloid"	cell line	THP1	immunomodulator	9966	14918	-0.022413793	-0.093450514
GSE68527	GSE68527_DEG_Expt3_Control_vs_Group2	probioglat	"blood, myeloid"	cell line	THP1	immunomodulator	4739	13803	0.041007227	-0.075213099
GSE69330	GSE69330_DEG_Expt1_Control_vs_Group1	DHT	prostate	cell line	LNCaP	androgen receptor agonist	742	14451	0.470311746	-0.230140171
GSE69346	GSE69346_DEG_Expt1_Control_vs_Group1	givinostat	"blood, lymphoid"	primary		HDAC inhibitor	734	15098	0.714875965	-0.363041692
GSE69346	GSE69346_DEG_Expt2_Control_vs_Group1	givinostat	"blood, lymphoid"	primary		HDAC inhibitor	9163	6715	-0.062722376	0.031517446
GSE69346	GSE69346_DEG_Expt3_Control_vs_Group1	givinostat	"blood, lymphoid"	primary		HDAC inhibitor	3423	16411	0.158019379	-0.463584141
GSE6962	GSE6962_DEG_Expt1_Control_vs_Group1	PCI-5002	lung	cell line	A549	"Vitamin,mineral,metabolite"	10	1950	0.800279644	0.178265358
GSE6962	GSE6962_DEG_Expt1_Control_vs_Group2	PCI-5002	lung	cell line	A549	"Vitamin,mineral,metabolite"	16821	1912	-0.641111562	0.191140446
GSE69698	GSE69698_DEG_Expt1_Control_vs_Group1	vitamin D3	muscle	primary		"Vitamin,mineral,metabolite"	612	10168	0.35321672	-0.048087191
GSE71127	GSE71127_DEG_Expt1_Control_vs_Group1	MeHg	stem cells	cell line	UKN1?	Carcinogen	1003	10569	0.29220786	-0.047041549
GSE71127	GSE71127_DEG_Expt2_Control_vs_Group1	TSA	stem cells	cell line	UKN1?	HDAC inhibitor	211	16490	1.03316427	-0.751367179
GSE71127	GSE71127_DEG_Expt3_Control_vs_Group1	SAHA	stem cells	cell line	UKN1?	HDAC inhibitor	295	10219	0.714728085	-0.064973756
GSE71347	GSE71347_DEG_Expt1_Control_vs_Group1	estradiol	breast	cell line	BT-474	estrogen receptor agonist	16558	737	-0.465897281	0.355761203
GSE71347	GSE71347_DEG_Expt2_Control_vs_Group1	estradiol	breast	cell line	BT-474	estrogen receptor agonist	11492	10311	-0.036998138	-0.018599789
GSE71996	GSE71996_DEG_Expt1_Control_vs_Group1	diphenylcyclopropenone	skin	primary		immunostimulant	549	12803	0.246482694	-0.149569009
GSE71996	GSE71996_DEG_Expt1_Control_vs_Group2	diphenylcyclopropenone	skin	primary		immunostimulant	515	4325	1.157370493	0.16588703
GSE71996	GSE71996_DEG_Expt1_Control_vs_Group3	diphenylcyclopropenone	skin	primary		immunostimulant	369	9634	1.228845814	-0.071554542
GSE71996	GSE71996_DEG_Expt1_Control_vs_Group4	diphenylcyclopropenone	skin	primary		immunostimulant	607	5407	1.17586952	0.108234229
GSE71996	GSE71996_DEG_Expt1_Control_vs_Group5	diphenylcyclopropenone	skin	primary		immunostimulant	528	10095	1.268464319	-0.085719281
GSE71996	GSE71996_DEG_Expt1_Control_vs_Group6	diphenylcyclopropenone	skin	primary		immunostimulant	360	11352	1.564235738	-0.197472137
GSE72320	GSE72320_DEG_Expt1_Control_vs_Group1	ETX	breast	cell line	MDA231	carnitine palmitoyltransferase inhibitor	1327	16259	0.31315217	-0.334057755
GSE74000	GSE74000_DEG_Expt1_Control_vs_Group1	acetaminophen	liver	cell line	hSKP-HPC	COX inhibitor	667	28	1.511287424	4.370007411
GSE74000	GSE74000_DEG_Expt2_Control_vs_Group1	acetaminophen	liver	cell line	hSKP-HPC	COX inhibitor	283	16364	1.444668195	-1.443649856
GSE74000	GSE74000_DEG_Expt3_Control_vs_Group1	acetaminophen	liver	cell line	hSKP-HPC	COX inhibitor	16890	3074	-1.238350081	0.172733471
GSE76293	GSE76293_DEG_Expt1_Control_vs_Group1	PI3K inhibitor	"blood, myeloid"	primary		PI3K inhibitor	16833	3000	-0.882646752	0.120217081
GSE76293	GSE76293_DEG_Expt1_Control_vs_Group2	GM-CSF	"blood, myeloid"	primary		Other	188	2965	1.128706501	0.095056034
GSE76675	GSE76675_DEG_Expt1_Control_vs_Group1	AZD3965	breast	cell line	HS578T	monocarboxylate transporter inhibitor	7043	14706	0.020989136	-0.149226123
GSE76675	GSE76675_DEG_Expt2_Control_vs_Group1	AZD3965	breast	cell line	SUM149	monocarboxylate transporter inhibitor	13237	16550	-0.118452732	-0.457487209
GSE76675	GSE76675_DEG_Expt3_Control_vs_Group1	AZD3965	breast	cell line	SUM159	monocarboxylate transporter inhibitor	11222	16690	-0.028821563	-0.268636686
GSE7807	GSE7807_DEG_Expt1_Control_vs_Group1	leukotriene D4	"blood, myeloid"	primary		leukocyte activator	131	12380	0.287839248	-0.06231676
GSE78704	GSE78704_DEG_Expt1_Control_vs_Group1	JQ1	ovary	cell line	Ovcar8	bromodomain inhibitor	15239	7056	-0.514739899	0.043788541
GSE79761	GSE79761_DEG_Expt1_Control_vs_Group1	estradiol	breast	cell line	MCF7	estrogen receptor agonist	126	2579	1.493208381	0.240209769
GSE79761	GSE79761_DEG_Expt1_Control_vs_Group2	dexamethasone	breast	cell line	MCF7	glucocorticoid receptor agonist	232	1772	1.036239843	0.310426036
GSE79761	GSE79761_DEG_Expt1_Control_vs_Group3	estradiol|dexamethasone	breast	cell line	MCF7	estrogen receptor agonist|glucocorticoid receptor agonist	41	2169	1.434681621	0.195855525
GSE83120	GSE83120_DEG_Expt1_Control_vs_Group1	erlotinib	prostate	cell line	PC-9	EGFR inhibitor	16860	16431	-3.125727493	-1.338787571
GSE83491	GSE83491_DEG_Expt1_Control_vs_Group1	AZD3965	stem cells	cell line	hESC	monocarboxylate transporter inhibitor	755	15703	0.317405223	-0.222538545
GSE83491	GSE83491_DEG_Expt2_Control_vs_Group1	AZD3965	stem cells	cell line	hESC	monocarboxylate transporter inhibitor	3451	16740	0.182375297	-0.692284452
GSE8588	GSE8588_DEG_Expt1_Control_vs_Group1	2-OH-BDE47|2-OH-BDE85	adrenal	cell line	H295R	Other	752	16842	0.740014383	-1.545476902
GSE8588	GSE8588_DEG_Expt1_Control_vs_Group2	2-OH-BDE47|2-OH-BDE85	adrenal	cell line	H295R	Other	205	16672	1.325623837	-1.258366147
GSE8597	GSE8597_DEG_Expt1_Control_vs_Group1	E2	breast	cell line	MCF7	estrogen receptor agonist	10438	22	-0.028613985	1.833130348
GSE8658	GSE8658_DEG_Expt1_Control_vs_Group1	rosiglitazone	"blood, myeloid"	primary		PPAR receptor agonist	269	6249	0.470054789	0.029779725
GSE9988	GSE9988_DEG_Expt1_Control_vs_Group1	LPS	"blood, myeloid"	primary		Other	66	631	2.477555326	0.750512782
